Name, Symbol,
Brunner Iv.5%pf, 44GL, 
Hend.smll.4h%pf, 44IO, 
Merchants T3fe%, 72HN, 
Albion. Dev Vct, AADV, 
Albion En. Vct, AAEV, 
Abrdn Asiafocus, AAS, 
Albion. Tch Vct, AATG, 
Albion Venture, AAVC, 
Abrdn Di&g, ADIG, 
Aquila En, AEET, 
Abrdn Equityinc, AEI, 
Aquila Euro., AERI, 
Aquila Euro., AERS, 
AVI Global Trust, AGT, 
Aberf Geared, AGVI, 
Aberf Geared Z, AGZI, 
Ashoka India Equity Investment Trust Plc, AIE, 
Avi Japan Oppo., AJOT, 
Alliance Witan, ALW, 
Amati Aim Vct, AMAT, 
Ab New India, ANII, 
Aurora Inv.tst., ARR, 
Aberforth Smaller Companies Trust Plc, ASL, 
Schroder Asian, ATR, 
Artemis Alpha, ATS, 
Allianz Technology Trust, ATT, 
Athelney Tst., ATY, 
Augmentum Fint., AUGM, 
Abrdn Uk Small, AUSC, 
Ashoka Whiteoak, AWEM, 
City Lon.pfd, BA47, 
City Lon.4.2%, BA69, 
Br.amer.inv.tst, BAF, 
Brown Advisory, BASC, 
Bellevue Health, BBH, 
Barings Emerg., BEMO, 
Blackrock Engy, BERI, 
Blackfinch Spr., BFSP, 
Baillie Gif. Ch, BGCG, 
Baillie Geu, BGEU, 
Baillie Gifford Japan Trust PLC, BGFD, 
Blackstone Loan, BGLP, 
Baillie Gifford Shin Nippon PLC, BGS, 
Baillie Gifford, BGUK, 
Biotech Gwth, BIOG, 
Invesco Bd In, BIPS, 
Baronsmead 2vt, BMD, 
Bankers Investment Trust, BNKR, 
Literacy Cap, BOOK, 
Blue Plan.uts, BPFU, 
Blackrock Ait, BRAI, 
Blackrock Fr, BRFI, 
BlackRock Greater Europe Investment Trust, BRGE, 
Blackrock I&g, BRIG, 
Blackrock Lat A, BRLA, 
BlackRock Smaller Companies Trust PLC, BRSC, 
BlackRock World Mining Trust plc, BRWM, 
Br.small Co.2, BSC, 
Bluefield Solar, BSIF, 
Baker Steel, BSRT, 
Br.smaller Cos., BSV, 
Brunner Inv.tst, BUT, 
Baronsmead Vt, BVT, 
CATCo, CAT, 
Cc Japan, CCJI, 
Capital Gearing Trust, CGT, 
Ct Uk High, CHI, 
Ct Uk High B, CHIB, 
Calculus Vct, CLC, 
Caledonia, CLDN, 
Cambria Africa, CMB, 
Ct Global Grwth, CMPG, 
Ct Global Inc, CMPI, 
Albion Crown, CRWN, 
Ct Priv. Ord, CTPE, 
Ct Uk Cap & Inc, CTUK, 
City Of London Investment, CTY, 
City Lon.4.2%, CTYA, 
Cvc Ig Eur, CVCE, 
Cvc Ig Gbp, CVCG, 
CQS Natural Resources Growth & Income Trust, CYN, 
Thames V.2 Dp67, D467, 
Asia Dragon, DGN, 
Dunedin Inc., DIG, 
Diverse Inc, DIVI, 
Dunedin Ent.it., DNE, 
Downing Renewa., DORE, 
Downing Strate., DSM, 
Develop North, DVNO, 
Edinburgh Investment Trust PLC, EDIN, 
Ecofin Global, EGL, 
Euro Opps Tr., EOT, 
European Small., ESCT, 
Epe Special Opp, ESO, 
Edinburgh Worldwide, EWI, 
Fair Oaks Inc R, FA17, 
Fidelity Asian Values, FAS, 
F&C Investment Trust, FCIT, 
Fidelity China Special Situations PLC, FCSS, 
Fidelity European Values, FEV, 
Foresight Envr, FGEN, 
Finsbury Growth, FGT, 
Fidelity Japan Trust, FJV, 
Foresight Solar Fund, FSFL, 
Fidelity, FSV, 
Foresight Ent, FTF, 
Foresight Technology, FTV, 
Foresight Vent, FVEN, 
Fuel Ventures, FVV, 
Gcp Asset Bckd, GABI, 
Gabelli Merger, GMP, 
Gotech Group, GOT, 
Gresham House, GRID, 
Grit Inv Tst, GRIT, 
Glb Sml Co Trst, GSCT, 
Vh Global Sust., GSEO, 
Gore Street En., GSF, 
Gresham Ren 1a, GV1A, 
Gresham Renew 1, GV1O, 
Gresham Ren 2a, GV2A, 
Gresham Renew 2, GV2O, 
Guinness Vct, GVCT, 
Harmony Energy, HEIT, 
Hend.eur.trust, HET, 
HydrogenOne, HGEN, 
HgCapital Trust plc, HGT, 
Henderson High Income Trust, HHI, 
Hargreave, HHV, 
HICL Infrastructure, HICL, 
Henderson Int., HINT, 
Henderson Opportunity Trust, HOT, 
Herald, HRI, 
Henderson Smaller Companies Trust, HSL, 
Seneca Growth, HYG, 
Invesco Asia, IAT, 
Int.biotech., IBT, 
ICG Enterprise Trust, ICGT, 
Impax Asset Management, IEM, 
India Cap, IGC, 
Invesco Gl Eq, IGET, 
Inc&gwth Vct, IGV, 
Schroders Cap, INOV, 
Investment Co., INV, 
Invesco Perp Uk, IPU, 
Jp Morg.as, JAGI, 
JPMorgan American, JAM, 
Jp Morg.chin, JCGI, 
Jpmorgan Clav, JCH, 
JPMorgan European Discovery Trust, JEDT, 
Jpmorgan Euro., JEGI, 
Jpmorgan Emea, JEMA, 
Jpmorgan Glob, JEMI, 
JPMorgan Japanese, JFJ, 
Jupiter Gr., JGC, 
JPMorgan Global Growth & Income, JGGI, 
JPMorgan Indian, JII, 
JPMorgan Emerging Markets Investment Trust, JMG, 
Jpm Jap Sml G&i, JSGI, 
Jpm Uk Sml Cap, JUGI, 
Jpmorg.us, JUSC, 
Albion Kay Vct, KAY, 
Keystone Pos., KPC, 
Lms Capital, LMS, 
Life Settlemen, LSAA, 
Lindsell Train, LTI, 
Law Debenture, LWDB, 
Lowland Inv., LWI, 
Majedie Inv., MAJE, 
Maven I&g 4, MAV4, 
M&g Credit Inc., MGCI, 
Menhaden Re Plc, MHN, 
Maven Income 1, MIG1, 
Maven Grwth 3, MIG3, 
Maven I&g Vct5, MIG5, 
Migo Opp Trust, MIGO, 
Miton Uk, MINI, 
Mobeus I&g, MIX, 
Mobius Investm., MMIT, 
Monks Inv, MNKS, 
Manchester&lon., MNL, 
Martin Currie Global Portfolio Trust, MNP, 
Mercantile Investment Trust PLC, MRC, 
Merchants Trust, MRCH, 
Montanaro, MTE, 
Montanaro Uk, MTU, 
Murray Income Trust, MUT, 
Molten Ventures, MVCT, 
Marwyn Value 16, MVIR, 
Mid Wynd International Investment Trust, MWY, 
Murray International, MYI, 
North American, NAIT, 
North Atl.smlr, NAS, 
Nippon Active ., NAVF, 
New Star Inv, NSI, 
Northern 3 Vct, NTN, 
Northern 2 Vct, NTV, 
Northern Venture Trust, NVT, 
Octopus Ap, OAP3, 
Octopus Fut Gen, OFG, 
Odyssean Inves., OIT, 
Octopus Aim, OOA, 
Octopus Energy, ORIT, 
Octopus Aim 2, OSEC, 
Oxford Tech Ot1, OT1, 
Oxford Tech Ot3, OT3, 
Oxford Tech Ot4, OT4, 
Octopus T.vct, OTV2, 
Oberon Aim, OVCT, 
Oxford Technology 2 VCT, OXH, 
Pacific Assets, PAC, 
Polar Cap Gbl, PCFT, 
Polar Cap Glbl, PCGH, 
Polar Capital Technology Trust, PCT, 
Pembroke Vct, PEMB, 
Proven Growth, PGOO, 
Praetura, PGV, 
Pacific Horizon, PHI, 
Pantheon International, PIN, 
Pantheon Infr, PINT, 
Premier Miton, PMGR, 
Personal Assets Trust, PNL, 
Patria Private, PPET, 
Puma Vct 13 Plc, PU13, 
Puma Alpha Vct., PUAL, 
Proven Vct, PVN, 
Riverstone Cred, RCOI, 
RIT Capital Partners, RCP, 
Rights &iss., RIII, 
Rockwood Strat., RKW, 
Rm Infra Inc, RMII, 
River Uk Micro, RMMC, 
Ecofin U.s., RNEP, 
Atrato Onsite, ROOF, 
Riverstone Energy, RSE, 
Scot.amer.inv., SAIN, 
Schroder Brit, SBO, 
Schroder Bsc S., SBSI, 
Schroder Income Growth Fund, SCF, 
Schroder UK Mid & Small Cap Fund, SCP, 
Schroder AsiaPacific Fund, SDP, 
Chelvertn Uk, SDV, 
Sdv 2025 Zdp, SDVP, 
Strategic Eqty, SEC, 
Sdcl Energy Ef., SEIT, 
Sequoia Economic Infrastructure Fund, SEQI, 
Shires Inc., SHRS, 
Schroder Japan, SJG, 
Scottish Mortgage, SMT, 
Seraphim Sp, SSIT, 
Smithson Invest, SSON, 
Scot.orntl.smll, SST, 
Sts Global Inc, STS, 
Sure Ventures, SURE, 
Seneca B, SVCT, 
Svm Uk Emerg, SVM, 
Starwood Eur, SWEF, 
Syncona, SYNC, 
Templeton Emerging Markets, TEM, 
Triple Pt. Engy, TENT, 
Throgmorton Trust, THRG, 
Tiger Resource, TIR, 
Taylor Maritim, TMIP, 
Temple Bar Investment Trust, TMPL, 
Triple Point Ve, TPV, 
TR Property Investment Trust, TRY, 
Thames V.2 Aim, TV2A, 
Thames V.2 Hlth, TV2H, 
Thames V.2 Vent, TV2V, 
Unicorn Asset Management, UAV, 
Utilico Emerging Markets, UEM, 
Greencoat UK Wind, UKW, 
Baillie Gifford, USA, 
Us Solar Fund, USF, 
Us Solar Fund, USFP, 
Vipera, VIP, 
Witan, WTAN, 
Worldwide Healthcare Trust, WWH, 